phrase;different;intent_obtained;intent_expected;entities_obtained;entities_expected;domain_obtained;domain_expected
Holu;I;None;intent.common.greetings;[];[];domain.common;domain.common
¿Dan algún programa de aventuras hoy?;E;intent.tv.content_get_info;intent.tv.content_get_info;"[""{'_Entity__name': 'hoy', '_Entity__entity_type': 'ent.time_interval', '_Entity__score': 0.9995670316588974, '_Entity__start_index': 32, '_Entity__end_index': 35, '_Entity__canon': 'hoy', '_Entity__label': '+0d', '_Entity__deep_links': None, '_Entity__order': 2}"", ""{'_Entity__name': 'de aventuras', '_Entity__entity_type': 'ent.audiovisual_subgenre', '_Entity__score': 0.9999997938873172, '_Entity__start_index': 19, '_Entity__end_index': 31, '_Entity__canon': 'aventura', '_Entity__label': 'aventura', '_Entity__deep_links': None, '_Entity__order': 1}""]";[{'value': 'programa', 'e_type': 'ent.audiovisual_genre', 'start_index': 10, 'end_index': 18, 'canon': 'programa', 'label': 'PROG'}, {'value': 'de aventuras', 'e_type': 'ent.audiovisual_subgenre', 'start_index': 19, 'end_index': 31, 'canon': 'aventura', 'label': 'aventura'}, {'value': 'hoy', 'e_type': 'ent.time_interval', 'start_index': 32, 'end_index': 35, 'canon': 'hoy', 'label': '+0d'}];domain.tv;domain.tv
¿Qué puedo ver mañana a las 8 de la noche por boomerang?;E;intent.tv.content_get_info;intent.tv.content_get_info;"[""{'_Entity__name': 'a las 8 de la noche', '_Entity__entity_type': 'ent.time_instant', '_Entity__score': 0.9999999999982951, '_Entity__start_index': 21, '_Entity__end_index': 40, '_Entity__canon': 'a las 8 de la noche', '_Entity__label': None, '_Entity__deep_links': None, '_Entity__order': 2}"", ""{'_Entity__name': 'mañana', '_Entity__entity_type': 'ent.time_interval', '_Entity__score': 0.9999264939418726, '_Entity__start_index': 14, '_Entity__end_index': 20, '_Entity__canon': 'mañana', '_Entity__label': '+1d', '_Entity__deep_links': None, '_Entity__order': 1}"", ""{'_Entity__name': 'boomerang', '_Entity__entity_type': 'ent.audiovisual_channel', '_Entity__score': 0.9999999999994227, '_Entity__start_index': 45, '_Entity__end_index': 54, '_Entity__canon': 'boomerang', '_Entity__label': None, '_Entity__deep_links': None, '_Entity__order': 3}""]";[{'value': 'mañana', 'e_type': 'ent.time_interval', 'start_index': 14, 'end_index': 20, 'canon': 'mañana', 'label': '+1d'}, {'value': 'a las 8 de la noche', 'e_type': 'ent.time_instant', 'start_index': 21, 'end_index': 40, 'canon': 'a las 8 pm', 'label': '8h_pm'}, {'value': 'boomerang', 'e_type': 'ent.audiovisual_channel', 'start_index': 45, 'end_index': 54, 'canon': 'boomerang', 'label': None}];domain.tv;domain.tv
¿a las 3 de la tarde qué dan en la tele?;E;intent.tv.content_get_info;intent.tv.content_get_info;"[""{'_Entity__name': 'a las 3 de la tarde', '_Entity__entity_type': 'ent.time_instant', '_Entity__score': 0.999999999948791, '_Entity__start_index': 0, '_Entity__end_index': 19, '_Entity__canon': 'a las 3 de la tarde', '_Entity__label': None, '_Entity__deep_links': None, '_Entity__order': 1}"", ""{'_Entity__name': 'tele', '_Entity__entity_type': 'ent.device_tv', '_Entity__score': 1.0, '_Entity__start_index': 34, '_Entity__end_index': 38, '_Entity__canon': 'tv', '_Entity__label': None, '_Entity__deep_links': None, '_Entity__order': 2}""]";[{'value': 'a las 3 de la tarde', 'e_type': 'ent.time_instant', 'start_index': 0, 'end_index': 19, 'canon': 'a las 3 pm', 'label': '3h_pm'}, {'value': 'tele', 'e_type': 'ent.device_tv', 'start_index': 34, 'end_index': 38, 'canon': 'tv', 'label': None}];domain.tv;domain.tv
Pasá la serie a la tele;E;intent.tv.display;intent.tv.display;"[""{'_Entity__name': 'tele', '_Entity__entity_type': 'ent.device_tv', '_Entity__score': 1.0, '_Entity__start_index': 19, '_Entity__end_index': 23, '_Entity__canon': 'tv', '_Entity__label': None, '_Entity__deep_links': None, '_Entity__order': 2}"", ""{'_Entity__name': 'serie a', '_Entity__entity_type': 'ent.audiovisual_sports_season', '_Entity__score': 0.9999791850228912, '_Entity__start_index': 8, '_Entity__end_index': 15, '_Entity__canon': 'serie a', '_Entity__label': None, '_Entity__deep_links': None, '_Entity__order': 1}""]";[{'value': 'serie', 'e_type': 'ent.audiovisual_genre', 'start_index': 8, 'end_index': 13, 'canon': 'serie', 'label': 'SER'}, {'value': 'tele', 'e_type': 'ent.device_tv', 'start_index': 19, 'end_index': 23, 'canon': 'tv', 'label': None}];domain.tv;domain.tv
Poneme table 19 en la tv;DEI;None;intent.tv.display;[];[{'value': 'table 19', 'e_type': 'ent.audiovisual_film_title', 'start_index': 7, 'end_index': 15, 'canon': 'mesa 19', 'label': None}, {'value': 'tv', 'e_type': 'ent.device_tv', 'start_index': 22, 'end_index': 24, 'canon': 'tv', 'label': None}];domain.common;domain.tv
Poner 12 monos en la tv;DEI;None;intent.tv.display;[];[{'value': '12 monos', 'e_type': 'ent.audiovisual_film_title', 'start_index': 6, 'end_index': 14, 'canon': '12 monos', 'label': None}, {'value': 'tv', 'e_type': 'ent.device_tv', 'start_index': 21, 'end_index': 23, 'canon': 'tv', 'label': None}];domain.common;domain.tv
Quiero poner el documental de la cuna a la tumba en el tele;E;intent.tv.display;intent.tv.display;"[""{'_Entity__name': 'la cuna', '_Entity__entity_type': 'ent.audiovisual_tvshow_title', '_Entity__score': 0.99969741011765, '_Entity__start_index': 30, '_Entity__end_index': 37, '_Entity__canon': 'la cuna', '_Entity__label': None, '_Entity__deep_links': None, '_Entity__order': 2}"", ""{'_Entity__name': 'tumba', '_Entity__entity_type': 'ent.audiovisual_sports_season', '_Entity__score': 0.9920934886535258, '_Entity__start_index': 43, '_Entity__end_index': 48, '_Entity__canon': 'tumba', '_Entity__label': None, '_Entity__deep_links': None, '_Entity__order': 3}"", ""{'_Entity__name': 'tele', '_Entity__entity_type': 'ent.device_tv', '_Entity__score': 1.0, '_Entity__start_index': 55, '_Entity__end_index': 59, '_Entity__canon': 'tv', '_Entity__label': None, '_Entity__deep_links': None, '_Entity__order': 4}"", ""{'_Entity__name': 'documental', '_Entity__entity_type': 'ent.audiovisual_genre', '_Entity__score': 0.9999999957420254, '_Entity__start_index': 16, '_Entity__end_index': 26, '_Entity__canon': 'documental', '_Entity__label': 'DOC', '_Entity__deep_links': None, '_Entity__order': 1}""]";[{'value': 'documental', 'e_type': 'ent.audiovisual_genre', 'start_index': 16, 'end_index': 26, 'canon': 'documental', 'label': 'DOC'}, {'value': 'de la cuna a la tumba', 'e_type': 'ent.audiovisual_documental_title', 'start_index': 27, 'end_index': 48, 'canon': 'de la cuna a la tumba', 'label': None}, {'value': 'tele', 'e_type': 'ent.device_tv', 'start_index': 55, 'end_index': 59, 'canon': 'tv', 'label': None}];domain.tv;domain.tv
Quiero ver 12 monos en la televisión;E;intent.tv.display;intent.tv.display;"[""{'_Entity__name': 'monos', '_Entity__entity_type': 'ent.audiovisual_film_title', '_Entity__score': 0.9938070257766329, '_Entity__start_index': 14, '_Entity__end_index': 19, '_Entity__canon': 'monos', '_Entity__label': None, '_Entity__deep_links': None, '_Entity__order': 2}"", ""{'_Entity__name': '12', '_Entity__entity_type': 'ent.audiovisual_film_title', '_Entity__score': 0.9857813788054132, '_Entity__start_index': 11, '_Entity__end_index': 13, '_Entity__canon': '12', '_Entity__label': None, '_Entity__deep_links': None, '_Entity__order': 1}"", ""{'_Entity__name': 'televisión', '_Entity__entity_type': 'ent.device_tv', '_Entity__score': 1.0, '_Entity__start_index': 26, '_Entity__end_index': 36, '_Entity__canon': 'tv', '_Entity__label': None, '_Entity__deep_links': None, '_Entity__order': 3}""]";[{'value': '12 monos', 'e_type': 'ent.audiovisual_film_title', 'start_index': 11, 'end_index': 19, 'canon': '12 monos', 'label': None}, {'value': 'televisión', 'e_type': 'ent.device_tv', 'start_index': 26, 'end_index': 36, 'canon': 'tv', 'label': None}];domain.tv;domain.tv
Reproducir predator 2 en la tele;DEI;None;intent.tv.display;[];[{'value': 'predator 2', 'e_type': 'ent.audiovisual_film_title', 'start_index': 11, 'end_index': 21, 'canon': 'depredador 2', 'label': None}, {'value': 'tele', 'e_type': 'ent.device_tv', 'start_index': 28, 'end_index': 32, 'canon': 'tv', 'label': None}];domain.common;domain.tv
